day,hour,value
1,0,384
1,1,429
1,2,388
1,3,329
1,4,295
1,5,290
1,6,256
1,7,192
1,8,159
1,9,102
1,10,68
1,11,58
1,12,69
1,13,137
1,14,270
1,15,505
1,16,828
1,17,907
1,18,811
1,19,801
1,20,737
1,21,822
1,22,748
1,23,734
2,0,694
2,1,703
2,2,636
2,3,559
2,4,468
2,5,409
2,6,346
2,7,260
2,8,186
2,9,118
2,10,82
2,11,57
2,12,68
2,13,116
2,14,262
2,15,512
2,16,885
2,17,984
2,18,873
2,19,883
2,20,813
2,21,926
2,22,820
2,23,798
3,0,791
3,1,772
3,2,675
3,3,594
3,4,500
3,5,444
3,6,384
3,7,271
3,8,208
3,9,124
3,10,90
3,11,67
3,12,77
3,13,130
3,14,247
3,15,517
3,16,878
3,17,983
3,18,872
3,19,914
3,20,842
3,21,923
3,22,852
3,23,814
4,0,806
4,1,770
4,2,673
4,3,571
4,4,496
4,5,445
4,6,402
4,7,310
4,8,211
4,9,135
4,10,95
4,11,66
4,12,76
4,13,125
4,14,249
4,15,501
4,16,840
4,17,990
4,18,875
4,19,888
4,20,851
4,21,903
4,22,801
4,23,803
5,0,784
5,1,769
5,2,659
5,3,567
5,4,500
5,5,455
5,6,381
5,7,285
5,8,209
5,9,135
5,10,90
5,11,64
5,12,74
5,13,123
5,14,231
5,15,482
5,16,825
5,17,933
5,18,823
5,19,846
5,20,815
5,21,797
5,22,780
5,23,749
6,0,726
6,1,700
6,2,567
6,3,517
6,4,482
6,5,442
6,6,413
6,7,359
6,8,277
6,9,183
6,10,116
6,11,86
6,12,95
6,13,158
6,14,232
6,15,337
6,16,473
6,17,572
6,18,568
6,19,604
6,20,564
6,21,571
6,22,547
6,23,509
7,0,504
7,1,538
7,2,491
7,3,425
7,4,363
7,5,379
7,6,353
7,7,297
7,8,258
7,9,169
7,10,118
7,11,86
7,12,90
7,13,130
7,14,185
7,15,239
7,16,333
7,17,425
7,18,447
7,19,515
7,20,448
7,21,454
7,22,431
7,23,403
